CODE,POPULATION,POP_INCREASE,AREA,DENSITY,HOUSE,HOU_INCREASE,DID_POPULATION,POP_U15,POP_O15,POP_O65,FOREIGNER,DAYTIME,WORKER,1ST_IND,2ND_IND,3RD_IND,IND_AGRI,IND_MANU,IND_SALE,IND_SERV,
dummy,,,,,,,,,,,,,,,,,,,,,
02385,2911,-162,111.75,26,1000,-,0,386,1722,803,4,2897,1448,407,519,522,245,286,141,205,
02386,4238,-73,64.58,65.6,1408,-,0,613,2682,943,1,3824,1560,448,476,636,10,207,199,285,
02401,16012,43,81.6,196.2,6057,-,7822,2228,10429,3335,38,15682,7208,558,1993,4657,309,826,1655,2153,
02402,10634,-393,134.64,79,3530,-,0,1516,6596,2509,16,10727,5142,755,1250,3134,755,694,1104,1497,
02403,10109,178,21.44,471.5,3168,-,0,1671,6609,1829,49,9032,4123,821,1526,1775,791,804,527,833,
02404,6267,-461,371.81,16.9,1948,-,0,822,3826,1619,7,6054,3462,796,460,2202,792,181,455,1418,
02405,10481,-42,84.06,124.7,3042,-,0,1562,6577,2325,20,9473,4830,1598,1468,1761,1596,677,471,892,
02406,5508,-298,126.53,43.5,1888,-,0,750,3472,1286,3,5281,2757,838,972,945,572,621,311,432,
02407,9929,-149,119.48,83.1,2865,-,0,1526,6265,2138,13,8610,4212,1093,1285,1833,1035,675,696,863,
02408,10662,-530,207.23,51.5,3040,-,0,1573,6606,2483,27,9722,5137,1809,1205,2123,1620,312,564,980,
02409,8723,-459,202.59,43.1,2408,-,0,1160,5503,2056,3,7562,3597,1335,1038,1224,1335,340,387,577,
02410,13111,2011,50.44,259.9,4220,-,0,2522,8641,1948,94,10904,4973,600,1737,2631,599,1055,1380,922,
02411,11849,786,252.99,46.8,5021,-,0,1745,8125,1979,11,16425,11542,994,6244,4289,749,830,711,2839,
02421,5747,-446,323.66,17.8,1972,-,0,752,3418,1577,1,5529,2183,433,777,972,214,209,250,493,
02422,9159,-715,235.59,38.9,3247,-,0,1177,5683,2299,28,8316,3377,472,1060,1844,85,580,648,821,
02423,6566,-40,52.01,126.2,2212,-,0,1133,4116,1317,9,6754,3160,880,757,1522,63,139,448,688,
02424,7975,-70,294.36,27.1,2671,-,0,1169,5016,1790,2,7535,3839,972,1362,1502,346,174,248,790,
02425,2793,-219,69.58,40.1,929,-,0,416,1661,716,0,2487,1042,218,236,588,9,103,151,321,
02426,3010,-163,135,22.3,1077,-,0,367,1793,850,2,2832,1349,283,508,558,66,167,134,269,
02427,2775,-244,58.59,47.4,908,-,0,350,1684,741,1,2321,870,201,265,402,54,164,115,156,
02441,13223,-517,151.55,87.3,4312,-,0,1856,7950,3417,33,13237,7033,2151,1776,3104,2151,955,1116,1300,
02442,17850,-364,122.14,146.1,5396,-,0,2595,11079,4176,25,16215,8194,2006,3030,3154,2006,1779,1082,1431,
02443,7288,-393,242.1,30.1,2253,-,0,1069,4247,1970,20,6931,3853,1620,911,1322,1620,385,376,639,
02444,9250,-621,83.45,110.8,2781,-,0,1297,5495,2458,13,8174,3832,1540,897,1391,1540,400,434,702,
02445,6104,-240,29.58,206.4,1936,-,0,885,3585,1634,31,5476,2667,950,440,1276,950,231,580,520,
02446,15618,1190,93.87,166.4,5951,-,0,2543,10722,2347,26,10507,3829,655,1308,1856,553,660,537,950,
02447,7242,416,40.18,180.2,2134,-,0,1254,4538,1437,4,6012,2775,695,1217,859,695,912,205,499,
02448,6688,-16,91.13,73.4,1962,-,0,906,4041,1741,14,6103,2964,1169,733,1060,1169,199,246,620,
02449,3468,16,55.68,62.3,872,-,0,528,2004,936,20,2916,1469,779,211,479,779,148,46,321,
02450,3343,-155,150.85,22.2,927,-,0,408,1858,1077,3,3131,1869,980,292,596,979,16,85,339,
03201,288843,2365,489.15,590.5,115293,-,230793,44134,199462,45189,965,309423,161839,4800,26791,130006,4796,9334,45698,55512,
03202,54638,-1751,339.44,161,19347,-,20425,8171,34653,11783,74,56199,26461,2183,7561,16715,888,4585,6117,7212,
03203,36570,-694,186.06,196.5,12267,-,7905,5595,22790,8185,228,38705,20406,1265,7675,11460,587,4572,4182,4741,
03204,60990,964,96.92,629.3,21081,-,26017,9422,39066,12502,159,63639,34873,2796,9654,22411,2796,5754,8344,10029,
03205,72995,1045,385.4,189.4,23841,-,13395,10809,47259,14926,133,73728,38773,4239,12147,22377,4228,8095,8017,10498,
03206,91501,3532,437.55,209.1,31023,-,26825,14657,59786,16838,284,95896,53944,4820,22443,26664,4817,16353,9950,11116,
03207,36796,-728,327.62,112.3,12985,-,8137,6516,23083,7143,106,37567,17906,1203,6592,10106,911,3504,3449,4597,
03208,27681,-491,660.38,41.9,8781,-,5328,3877,16346,7458,108,27449,14800,3600,4733,6464,3585,2574,2023,3223,
03209,63510,33,410.23,154.8,21559,-,25756,9409,40647,13339,170,69548,37363,2966,13038,21320,2965,9450,7345,9318,
03210,25676,-453,232.23,110.6,7708,-,0,3672,15163,6841,38,23673,10654,2016,3622,5015,1236,2212,1844,2470,
