ESTIMATE,CODE,CODE4,ELECTOR,S_VOTE,S_VALID_VOTE,H_VOTE,H_VALID_VOTE,H_JIMIN,H_KOMEI,H_RIKKEN,H_ISHIN,H_KYOSAN,H_KOKUMIN,H_REIWA,H_SHAMIN,H_NHK,H_OTHER
dummy,dummy,dummy,,,,,,,,,,,,,,,
,01555,0112,16627 ,10554 ,10299 ,10552 ,10292 ,4206 ,851 ,2779.321 ,806 ,604 ,190.678 ,352 ,238 ,135 ,130 
,01559,0112,7225 ,5095 ,4987 ,5095 ,4900 ,2360 ,494 ,1080.832 ,336 ,158 ,73.167 ,178 ,91 ,58 ,71 
,01560,0112,2184 ,1626 ,1589 ,1626 ,1565 ,585 ,163 ,364.426 ,251 ,55 ,36.573 ,52 ,25 ,21 ,12 
,01561,0112,3117 ,1966 ,1936 ,1966 ,1918 ,830 ,164 ,487.899 ,142 ,86 ,34.100 ,80 ,25 ,29 ,40 
,01562,0112,910 ,716 ,695 ,716 ,690 ,268 ,118 ,113.112 ,38 ,37 ,19.887 ,42 ,21 ,21 ,12 
,01563,0112,3556 ,2359 ,2311 ,2359 ,2278 ,1022 ,242 ,445.011 ,225 ,132 ,46.988 ,72 ,20 ,32 ,41 
,01564,0112,5869 ,3857 ,3801 ,3857 ,3708 ,1577 ,436 ,870.520 ,278 ,203 ,71.479 ,124 ,50 ,50 ,48 
,01571,0109,3206 ,2050 ,1991 ,2050 ,1939 ,713 ,184 ,473.619 ,124 ,187 ,48.380 ,95 ,40 ,39 ,35 
,01575,0109,2090 ,1409 ,1364 ,1409 ,1362 ,478 ,223 ,366.838 ,75 ,62 ,38.161 ,63 ,31 ,8 ,17 
,01578,0109,14508 ,8762 ,8509 ,8762 ,8453 ,2753 ,1323 ,2278.837 ,518 ,763 ,189.162 ,254 ,144 ,123 ,107 
,01581,0109,3715 ,2579 ,2514 ,2579 ,2499 ,923 ,300 ,599.959 ,159 ,231 ,81.040 ,93 ,31 ,33 ,48 
,01584,0109,7369 ,4735 ,4619 ,4735 ,4581 ,1438 ,787 ,1153.006 ,291 ,446 ,90.993 ,186 ,88 ,55 ,46 
,01585,0109,6471 ,4259 ,4163 ,4258 ,4109 ,1422 ,463 ,1161.147 ,288 ,340 ,104.852 ,144 ,80 ,43 ,63 
,01586,0109,6676 ,4495 ,4430 ,4494 ,4373 ,1542 ,632 ,1118.828 ,221 ,462 ,84.171 ,150 ,62 ,46 ,55 
