CODE,POPULATION,POP_INCREASE,AREA,DENSITY,HOUSE,HOU_INCREASE,DID_POPULATION,POP_U15,POP_O15,POP_O65,FOREIGNER,DAYTIME,WORKER,1ST_IND,2ND_IND,3RD_IND,IND_AGRI,IND_MANU,IND_SALE,IND_ACCO,IND_MEDI
dummy,,,,,,,,,,,,,,,,,,,,,
08447,8231,-937,44.3,185.8,2895,-55,0,589,4409,3227,107,,,,,,,,,,
08521,21026,-995,58.99,356.4,7017,218,0,2369,12114,6459,1073,,,,,,,,,,
08542,8093,-693,23.11,350.2,2928,34,0,730,4544,2732,145,,,,,,,,,,
08546,24201,-316,46.59,519.4,8722,661,7512,2912,14152,7018,896,,,,,,,,,,
08564,15340,-973,24.86,617.1,6258,120,6365,1196,7227,6903,240,,,,,,,,,,
09201,518757,163,416.85,1244.5,230841,13422,403616,65253,307157,129853,8003,,,,,,,,,,
09202,144746,-4706,177.76,814.3,61617,1431,91229,15176,80642,47023,4518,,,,,,,,,,
09203,155549,-3662,331.5,469.2,60918,3080,60411,17322,87866,49179,3834,,,,,,,,,,
09204,116228,-2691,356.04,326.4,48121,1731,53645,13011,66171,35621,2690,,,,,,,,,,
09205,94033,-4341,490.64,191.7,36098,1019,40233,11015,53951,28504,1372,,,,,,,,,,
09206,77661,-5725,1449.83,53.6,32308,-350,7045,7410,41644,27850,836,,,,,,,,,,
09208,166666,-94,171.75,970.4,69624,3832,101980,20940,101109,41781,6034,,,,,,,,,,
09209,78190,-1349,167.34,467.3,29425,1476,27154,10200,45955,21215,3146,,,,,,,,,,
09210,72087,-3370,354.36,203.4,29792,1039,17526,8176,41342,20726,1010,,,,,,,,,,
09211,31165,-2189,170.46,182.8,12012,-330,9948,3244,17357,10334,291,,,,,,,,,,
09213,115210,-1936,592.74,194.4,47454,1846,30859,14265,66620,32020,1855,,,,,,,,,,
09214,44513,-388,125.63,354.3,16370,722,0,6015,26570,11734,381,,,,,,,,,,
09215,24875,-2172,174.35,142.7,9186,-253,0,2369,13175,9331,227,,,,,,,,,,
09216,59507,76,74.59,797.8,23497,2103,34770,7009,34829,14912,599,,,,,,,,,,
09301,30806,-240,54.39,566.4,11544,767,0,4073,18972,7262,333,,,,,,,,,,
09342,21898,-1383,89.4,244.9,7813,26,0,2467,12195,7041,189,,,,,,,,,,
09343,11891,-1297,172.69,68.9,4458,-114,0,986,5810,5073,94,,,,,,,,,,
09344,11262,-458,64.25,175.3,4260,151,0,1269,6568,3317,173,,,,,,,,,,
09345,14961,-228,70.16,213.2,5230,273,0,1942,8179,4782,159,,,,,,,,,,
09361,39474,-477,61.06,646.5,15894,636,20016,4680,22578,11443,503,,,,,,,,,,
09364,24913,-379,30.27,823,9841,311,14819,2908,13897,8095,325,,,,,,,,,,
09384,10354,-1141,176.06,58.8,3623,-73,0,914,5282,4157,53,,,,,,,,,,
09386,29229,-410,70.87,412.4,12205,684,15858,3471,18001,7409,398,,,,,,,,,,
09407,23956,-963,372.34,64.3,9110,546,0,2154,11866,9690,242,,,,,,,,,,
09411,15215,-1749,192.78,78.9,5682,-149,0,1284,7875,6029,143,,,,,,,,,,
10201,332149,-4005,311.59,1066,141882,4982,197520,36764,179561,96390,5505,,,,,,,,,,
10202,372973,2089,459.16,812.3,160981,10801,201755,46009,215425,105034,5077,,,,,,,,,,
10203,106445,-8269,274.45,387.8,44971,-1063,67731,9973,57199,38392,1579,,,,,,,,,,
10204,211850,3036,139.44,1519.3,86200,6090,106774,27506,127686,53086,11955,,,,,,,,,,
10205,223014,3207,175.54,1270.4,92531,6264,88753,29597,131786,58057,10992,,,,,,,,,,
10206,45337,-3339,443.46,102.2,18853,-325,17006,4787,24666,15489,522,,,,,,,,,,
10207,75309,-1358,60.97,1235.2,31643,1424,39564,8494,44000,22103,2425,,,,,,,,,,
10208,74581,-3810,240.27,310.4,29114,302,12198,7561,40199,26284,709,,,,,,,,,,
10209,63261,-2447,180.29,350.9,25362,793,17152,6837,35533,20486,727,,,,,,,,,,
10210,47446,-2300,122.85,386.2,18514,259,9443,5077,25762,16334,797,,,,,,,,,,
10211,54907,-3624,276.31,198.7,22093,-288,0,5510,29336,19753,477,,,,,,,,,,
10212,49648,-1258,208.42,238.2,19443,576,9425,5904,28254,14832,684,,,,,,,,,,
10344,14216,-113,27.92,509.2,5116,229,0,1886,8497,3776,158,,,,,,,,,,
10345,21792,712,20.46,1065.1,7863,574,0,3394,13135,5212,148,,,,,,,,,,
10366,1128,-102,181.85,6.2,552,-26,0,108,502,518,17,,,,,,,,,,
10367,1645,-309,114.6,14.4,827,-76,0,59,575,1011,11,,,,,,,,,,
10382,6576,-988,188.38,34.9,2808,-232,0,352,2884,3340,31,,,,,,,,,,
10383,1611,-368,118.83,13.6,801,-152,0,38,522,1051,5,,,,,,,,,,
10384,12491,-709,58.61,213.1,4660,121,0,1276,6643,4274,154,,,,,,,,,,
10421,15386,-1464,439.28,35,6352,-177,0,1365,7654,6294,196,,,,,,,,,,
10424,5095,-441,133.85,38.1,2191,-131,0,434,2621,1991,59,,,,,,,,,,
10425,8850,-930,337.58,26.2,3532,-132,0,915,4635,3285,143,,,,,,,,,,
10426,6049,-469,49.75,121.6,3229,-46,0,435,2882,2348,223,,,,,,,,,,
10428,3511,-163,64.18,54.7,1165,-2,0,354,1858,1299,193,,,,,,,,,,
10429,12728,-1305,253.91,50.1,5144,-91,0,1078,6379,5253,240,,,,,,,,,,
10443,3993,-397,391.76,10.2,1574,20,0,331,2001,1639,42,,,,,,,,,,
10444,3480,-167,85.25,40.8,997,17,0,361,1553,1566,10,,,,,,,,,,
10448,6953,-394,64.14,108.4,2601,125,0,799,3869,2281,436,,,,,,,,,,
10449,17195,-2152,781.08,22,6959,-635,0,1500,8653,7014,222,,,,,,,,,,
