CODE,ELECTOR,S_VOTE,S_VALID_VOTE,H_VOTE,H_VALID_VOTE,H_JIMIN,H_KOMEI,H_RIKKEN,H_ISHIN,H_KOKUMIN,H_KYOSAN,H_REIWA,H_SHAMIN,H_NHK,H_SANSEI,H_OTHER
dummy,,,,,,,,,,,,,,,,
21206,63454 ,37234 ,36134 ,37234 ,36037 ,13646.288 ,3839.228 ,4580.568 ,3063.511 ,3383.074 ,3109.421 ,1411.543 ,812.024 ,600.613 ,1231.000 ,359.716 
21207,16723 ,9417 ,9177 ,9416 ,9167 ,3518.880 ,1134.000 ,1168.794 ,895.000 ,724.205 ,650.000 ,381.118 ,144.000 ,192.000 ,258.000 ,101.000 
21208,30459 ,17521 ,16952 ,17520 ,16967 ,6435.885 ,1998.555 ,2216.297 ,1693.113 ,1496.702 ,1021.000 ,714.000 ,283.000 ,409.444 ,511.000 ,188.000 
21209,55573 ,27464 ,26642 ,27461 ,26662 ,9911.934 ,3245.568 ,2932.596 ,3154.818 ,2424.403 ,1324.000 ,1157.060 ,396.181 ,771.431 ,1036.000 ,308.005 
21210,40676 ,24628 ,23896 ,24629 ,23893 ,9191.327 ,2490.859 ,2922.151 ,2227.045 ,1898.538 ,2136.185 ,1023.500 ,487.000 ,526.388 ,749.000 ,241.000 
21211,42513 ,23179 ,22464 ,23177 ,22487 ,8432.932 ,2248.000 ,2713.523 ,2435.698 ,2090.460 ,1368.000 ,1054.348 ,349.333 ,634.010 ,855.688 ,305.000 
21212,46802 ,25704 ,24871 ,25704 ,24943 ,8823.110 ,2959.636 ,3184.969 ,2675.303 ,2483.030 ,1368.222 ,1167.207 ,435.928 ,669.140 ,881.445 ,295.000 
21213,120213 ,62224 ,60318 ,62223 ,60733 ,21648.689 ,6879.000 ,7488.445 ,7265.599 ,6025.554 ,3198.462 ,2654.064 ,1063.600 ,1543.872 ,2284.707 ,681.000 
21214,78562 ,41608 ,40381 ,41608 ,40624 ,13877.411 ,4348.694 ,5868.021 ,4849.087 ,3939.966 ,2276.307 ,1788.500 ,731.011 ,1068.305 ,1443.692 ,433.000 
21215,22031 ,11778 ,11395 ,11779 ,11405 ,4671.008 ,1758.583 ,1271.826 ,958.060 ,818.056 ,627.413 ,394.451 ,147.000 ,240.016 ,423.480 ,95.102 
21216,43490 ,21601 ,20993 ,21602 ,20935 ,7878.332 ,2254.000 ,2365.981 ,2472.444 ,2132.018 ,1016.005 ,877.215 ,302.000 ,603.000 ,763.000 ,271.000 
21217,19816 ,13271 ,12912 ,13270 ,12893 ,6370.722 ,900.000 ,1782.742 ,1003.025 ,892.457 ,605.666 ,413.052 ,206.000 ,204.000 ,369.332 ,146.000 
21218,27507 ,14465 ,14047 ,14464 ,14096 ,5855.825 ,1668.000 ,1638.464 ,1262.000 ,1188.535 ,697.333 ,517.172 ,204.000 ,305.666 ,403.000 ,356.000 
21219,33546 ,23918 ,23230 ,23918 ,23039 ,11700.926 ,1583.653 ,2683.001 ,1771.636 ,1568.813 ,1284.000 ,864.362 ,254.500 ,420.529 ,668.569 ,239.000 
21220,26104 ,17337 ,16786 ,17337 ,16827 ,8074.791 ,1752.160 ,2147.040 ,1358.102 ,1036.034 ,843.164 ,520.103 ,188.000 ,278.600 ,487.000 ,142.000 
21221,28127 ,15217 ,14848 ,15217 ,14777 ,6366.813 ,1450.029 ,1555.629 ,1488.107 ,1411.340 ,743.000 ,576.076 ,172.000 ,359.000 ,442.000 ,213.000 
21302,20962 ,10158 ,9847 ,10158 ,9892 ,3684.931 ,1190.000 ,1048.655 ,1184.000 ,977.344 ,407.000 ,474.068 ,144.000 ,275.000 ,378.000 ,129.000 
21303,18236 ,9563 ,9316 ,9563 ,9271 ,3469.919 ,909.000 ,1094.038 ,1092.400 ,904.961 ,474.000 ,421.080 ,137.000 ,272.000 ,380.000 ,116.600 
21341,23227 ,11857 ,11570 ,11857 ,11546 ,5383.937 ,1160.200 ,1173.138 ,1033.013 ,1011.861 ,567.000 ,411.031 ,137.000 ,252.815 ,254.000 ,162.000 
21361,21706 ,12209 ,11931 ,12209 ,11835 ,4669.785 ,1222.301 ,1442.600 ,1315.120 ,1183.348 ,642.000 ,453.091 ,194.000 ,285.750 ,304.000 ,123.000 
21362,5729 ,3834 ,3723 ,3834 ,3679 ,1582.833 ,387.000 ,415.228 ,288.000 ,281.937 ,375.000 ,104.000 ,54.000 ,52.000 ,96.000 ,43.000 
21381,15700 ,8671 ,8452 ,8671 ,8420 ,3169.861 ,860.000 ,1020.370 ,882.026 ,934.740 ,544.000 ,327.000 ,128.000 ,216.000 ,231.000 ,107.000 
21382,7541 ,3870 ,3780 ,3870 ,3789 ,1780.687 ,314.750 ,346.158 ,403.181 ,337.841 ,169.000 ,130.130 ,62.000 ,74.250 ,107.000 ,63.000 
21383,11942 ,6350 ,6160 ,6350 ,6141 ,2565.000 ,660.000 ,675.527 ,597.000 ,587.472 ,252.000 ,244.000 ,82.000 ,147.000 ,227.000 ,104.000 
21401,17156 ,10763 ,10460 ,10764 ,10429 ,5178.660 ,1001.662 ,1122.277 ,799.384 ,803.668 ,440.000 ,363.338 ,167.647 ,169.357 ,248.000 ,135.000 
21403,18502 ,9653 ,9356 ,9653 ,9342 ,3868.806 ,1224.000 ,1036.136 ,879.749 ,832.863 ,365.033 ,377.158 ,109.250 ,224.000 ,320.000 ,105.000 
21404,19105 ,11074 ,10798 ,11074 ,10769 ,4623.958 ,1040.000 ,1210.941 ,1023.415 ,1038.058 ,534.000 ,425.000 ,144.625 ,269.000 ,319.000 ,141.000 
21421,15042 ,7511 ,7256 ,7511 ,7294 ,2709.764 ,934.000 ,839.482 ,838.000 ,653.517 ,344.250 ,345.235 ,116.000 ,209.750 ,212.000 ,92.000 
21501,6332 ,3629 ,3556 ,3629 ,3517 ,1355.000 ,403.000 ,439.002 ,378.000 ,294.997 ,181.764 ,163.000 ,46.000 ,105.000 ,107.235 ,44.000 
21502,4599 ,2970 ,2878 ,2970 ,2874 ,1249.859 ,323.000 ,338.704 ,259.000 ,243.295 ,128.000 ,114.140 ,51.000 ,55.000 ,72.000 ,39.000 
21503,8286 ,5193 ,5064 ,5193 ,5018 ,2036.000 ,511.000 ,745.135 ,452.000 ,509.864 ,195.000 ,170.000 ,89.000 ,114.000 ,144.000 ,52.000 
21504,3087 ,2104 ,2068 ,2104 ,2023 ,939.974 ,248.000 ,299.387 ,129.000 ,128.612 ,72.000 ,62.025 ,27.000 ,32.000 ,57.000 ,25.000 
21505,9030 ,6034 ,5928 ,6034 ,5801 ,2478.962 ,685.333 ,755.562 ,499.000 ,407.437 ,309.000 ,255.035 ,93.000 ,90.666 ,161.000 ,66.000 
21506,6699 ,4829 ,4755 ,4829 ,4677 ,2379.930 ,586.000 ,478.410 ,317.000 ,273.589 ,203.000 ,133.000 ,65.000 ,70.068 ,127.000 ,44.000 
21507,1887 ,1419 ,1399 ,1419 ,1364 ,839.833 ,81.000 ,122.038 ,73.000 ,93.961 ,42.000 ,44.166 ,14.000 ,14.000 ,31.000 ,9.000 
21521,14788 ,8019 ,7769 ,8019 ,7780 ,2875.922 ,992.000 ,991.921 ,777.000 ,733.078 ,344.200 ,329.077 ,138.000 ,216.800 ,287.000 ,95.000 
21604,1275 ,1097 ,1075 ,1097 ,1068 ,513.470 ,208.000 ,94.666 ,60.000 ,70.333 ,23.000 ,37.028 ,10.000 ,15.000 ,32.000 ,4.500 
22000,3037295 ,1608958 ,1573543 ,1608788 ,1545627 ,619033.072 ,175382.108 ,157665.052 ,177320.139 ,107440.370 ,92831.438 ,70003.956 ,32489.576 ,42100.565 ,56134.507 ,15222.821 
22101,211224 ,106542 ,104013 ,106518 ,102315 ,38687.194 ,11969.046 ,9832.107 ,12511.924 ,5863.764 ,9022.855 ,4715.649 ,2396.147 ,2711.208 ,3620.944 ,984.146 
22102,174680 ,85258 ,83265 ,85253 ,82111 ,30821.959 ,10131.350 ,7669.766 ,10229.000 ,5620.210 ,5612.292 ,3835.165 ,1856.038 ,2487.397 ,3019.477 ,828.333 
22103,197261 ,95200 ,93263 ,95197 ,91306 ,36264.668 ,12432.038 ,7887.376 ,10798.319 ,5667.694 ,6113.541 ,3948.310 ,2050.137 ,2334.347 ,3007.460 ,802.097 
