CODE,POPULATION,POP_INCREASE,AREA,DENSITY,HOUSE,HOU_INCREASE,DID_POPULATION,POP_U15,POP_O15,POP_O65,FOREIGNER,DAYTIME,WORKER,1ST_IND,2ND_IND,3RD_IND,IND_AGRI,IND_FISH,IND_MINI,IND_CONS,IND_MANU,IND_SUPP,IND_INFO,IND_TRAN,IND_SALE,IND_FINA,IND_REAL,IND_ACCO,IND_MEDI,IND_EDUC,IND_COMP,IND_OSERV,IND_GOVE,IND_OTHER
dummy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11446,21425,-985,27.37,782.8,6911,-,8510,2513,14801,4105,114,17717,9006,1415,3520,3984,1410,5,1,851,2668,11,27,864,1023,46,34,189,404,269,177,722,218,87
11461,26675,1496,15.78,1690.4,8824,-,10870,3912,18004,4715,307,21288,8401,290,1836,6101,290,0,0,735,1101,10,18,1090,1540,99,52,308,940,361,95,1277,311,174
11462,34062,13,13.9,2450.5,11998,-,25142,4572,24694,4793,219,23575,7675,381,2000,5134,379,2,0,750,1250,34,34,566,1529,76,54,356,707,464,109,959,246,160
11464,46646,-690,30,1554.9,15855,-,25561,6361,32538,7673,216,39172,15748,789,4030,10603,786,3,0,1449,2581,15,69,1864,2846,302,175,541,1031,759,197,2263,541,326
11465,30857,1836,16.22,1902.4,9761,-,20383,5059,21161,4631,166,23805,9502,390,3617,5259,390,0,0,1150,2467,1,27,874,1553,94,39,183,803,332,73,975,305,236
12101,184637,13726,44.81,4120.4,82627,-,177472,22350,124803,33680,3497,249071,147553,288,22215,121165,280,8,13,12193,10009,1619,5603,8835,26942,8714,3353,9006,11964,5728,1051,27226,11124,3885
12102,181708,1816,34.24,5306.9,72547,-,166086,24877,126378,30290,2054,137007,47815,729,11287,33557,722,7,1,5502,5784,148,950,3717,8959,790,1059,2306,4242,2314,416,7887,769,2242
12103,149685,2013,21.25,7044,62863,-,146350,19060,106022,24592,1952,135590,50798,349,9964,38453,348,1,1,4595,5368,18,699,3319,11024,941,1065,2670,4243,4551,127,8791,1005,2032
12104,149898,-1453,84.21,1780,57621,-,113871,19767,100454,29048,1798,125740,47433,1280,10174,33877,1277,3,4,7299,2871,158,469,2482,9454,650,793,2282,5020,2886,302,7478,1903,2102
12105,112850,11021,66.41,1699.3,39132,-,81063,20267,77115,15340,660,87495,30249,997,5081,22623,997,0,2,3099,1980,84,460,1126,5946,532,471,1486,4333,2075,286,5257,567,1548
12106,145541,10032,21.16,6878.1,58976,-,145541,21287,104939,19281,3535,159124,79187,45,11593,65381,43,2,30,3269,8294,500,9070,4185,17238,3399,1229,4531,4892,4001,756,14186,1394,2168
12202,75020,-3677,83.91,894.1,26812,-,39412,8933,46683,19404,1510,73689,34105,4049,9282,20743,3356,693,2,2440,6840,164,249,1587,6469,1115,176,2286,2564,1505,530,3154,944,31
12203,466608,17966,57.44,8123.4,208168,-,455300,60678,333205,65743,8669,358614,134423,1521,26517,100198,1446,75,12,12289,14216,863,2253,12025,25691,2445,3943,7716,12200,7965,1227,20080,3790,6187
12204,569835,19761,85.69,6650,233289,-,543424,75727,396428,93543,6607,473490,191185,3121,37146,144885,2944,177,3,15589,21554,764,3543,13087,39631,6125,4782,10972,16973,9852,1580,30775,6801,6033
12205,50527,-885,110.21,458.5,19865,-,18857,6263,30092,14172,378,53473,26257,2360,4677,18998,2176,184,9,2052,2616,130,180,885,5275,688,231,2160,2605,1204,396,3179,2065,222
12206,122234,-534,138.71,881.2,44370,-,83389,16579,82225,23413,1150,119005,53264,2640,11189,38707,1630,1010,43,5872,5274,464,568,2689,10012,1499,602,3559,4968,2565,625,7786,3370,728
12207,472579,7738,61.33,7705.5,192962,-,453045,64406,328908,76971,7073,379315,146769,2085,31805,105524,2085,0,1,13704,18100,414,1859,6463,29760,3255,3452,8886,14198,8447,1302,21771,5717,7355
12208,151240,43,103.54,1460.7,52347,-,92689,19911,104790,26459,1106,137559,62068,2251,19943,37960,2242,9,5,5160,14778,161,249,6060,10367,657,527,2585,4579,2982,504,7868,1421,1914
12209,45965,-2363,119.88,383.4,14776,-,11409,5889,28671,11405,292,41461,18525,2214,3688,12537,2214,0,18,2021,1649,93,275,716,4018,550,137,924,1634,809,252,2285,844,86
12210,93260,-519,100.01,932.5,33691,-,32789,12394,62024,18828,793,91141,43714,1807,14783,26570,1807,0,118,4031,10634,264,337,1541,7812,979,459,2467,3547,1564,434,5761,1405,554
12211,100717,5013,131.27,767.3,40955,-,65479,14629,71941,14147,1616,142197,93077,1606,10880,79110,1593,13,9,4124,6747,382,747,26900,12162,1584,1082,6075,4090,2082,726,18742,4538,1481
12212,171246,312,103.59,1653.1,61108,-,126524,22138,119791,29138,1197,132252,50310,1716,12425,34746,1716,0,2,3953,8470,228,457,2672,9145,750,731,2595,5282,2956,566,7054,2310,1423
12213,61701,2096,89.34,690.6,22701,-,13261,8638,42063,10967,960,60701,26953,2071,6023,18364,2069,2,1,2243,3779,211,153,1414,4717,523,335,1349,2125,1547,272,4479,1239,495
12214,32067,-740,80.75,397.1,10107,-,0,4073,19597,8137,197,31216,14672,2382,3561,8652,2369,13,4,1473,2084,27,129,716,2734,251,52,562,1457,593,206,1367,558,77
12215,70643,-533,129.91,543.8,22373,-,5373,9750,45232,15645,1045,64994,32216,7063,7634,17389,6802,261,7,3177,4450,25,72,938,5278,478,182,1626,3793,992,513,2630,862,130
12216,158785,4749,20.99,7564.8,64924,-,158144,22240,111583,24921,1551,141662,51459,422,10158,39512,412,10,1,3743,6414,196,922,4362,10972,754,1112,2856,4744,3835,442,7805,1512,1367
12217,380963,7185,114.9,3315.6,144013,-,339712,51186,266831,62383,3532,342287,145695,2958,30135,107330,2953,5,8,12780,17347,443,2694,8926,30400,4535,2805,8306,12994,8616,1102,21367,5142,5272
12218,22198,-1037,94.2,235.6,9290,-,5527,2090,13699,6409,92,20906,8855,1138,1520,6156,567,571,0,835,685,35,19,267,1355,145,121,1098,962,491,183,1132,348,41
12219,280255,2037,368.2,761.1,105600,-,170244,38537,194626,46373,3784,260218,118760,3505,42618,68502,3497,8,41,16621,25956,771,748,9230,16206,1368,1078,5317,8301,4225,1100,17625,2533,4135
12220,152641,2114,35.28,4326.6,57555,-,131518,20081,106157,26046,1295,109697,35122,903,7102,25870,903,0,0,3336,3766,283,235,1393,7022,556,641,2049,4160,2453,429,5031,1618,1247
12221,180729,11881,51.27,3525,68609,-,161412,27857,123331,29444,2565,153807,58857,1436,14809,41197,1436,0,3,4912,9894,144,533,4828,11644,1004,1001,3145,5801,3254,561,7890,1392,1415
12222,131205,3472,43.19,3037.9,49598,-,108834,17484,90131,23588,723,101155,33151,936,5342,25339,936,0,1,2648,2693,141,2651,930,6022,551,562,1641,3622,2403,335,5083,1398,1534
12223,36475,-1178,191.3,190.7,13815,-,0,4183,21201,11022,256,37337,19769,2626,2890,14138,1945,681,4,1464,1422,48,57,642,3486,263,159,2378,3344,837,359,2063,502,115
12224,102812,239,21.11,4870.3,37532,-,87737,13996,71079,17685,701,75917,26263,986,6125,18283,986,0,2,2918,3205,39,241,1752,5045,430,379,1303,3097,1320,201,3490,986,869
12225,90977,-1099,318.83,285.3,32364,-,50523,12605,60608,17751,538,87714,42853,2113,14213,26025,2106,7,170,5281,8762,195,427,3499,5645,607,339,2417,2866,1655,571,6776,1028,502
12226,50162,-2677,205.35,244.3,16639,-,0,5960,31444,12758,207,44471,20538,2652,5869,11895,1385,1267,65,2953,2851,265,96,703,3041,188,87,1091,1577,749,369,3095,634,122
12227,155290,22306,17.3,8976.3,67446,-,154746,24522,116008,14201,2898,150561,76724,122,7796,65961,96,26,0,3567,4229,188,1987,5117,11931,1114,1475,8018,4481,2978,229,27245,1198,2845
12228,84770,2218,34.7,2442.9,30153,-,58869,11739,57997,14851,587,66247,22864,629,4509,17176,629,0,2,2931,1576,45,98,1551,5027,348,316,1009,2452,1590,241,3464,1035,550
12229,59108,515,94.92,622.7,19834,-,29461,8610,40853,9620,342,54947,26880,1964,9465,15089,1960,4,1,3341,6123,381,47,1869,3220,238,176,1037,2286,853,210,4185,587,362
12230,75735,3140,74.87,1011.6,25259,-,9079,11815,52352,11480,1123,60561,25219,3547,6655,14469,3546,1,2,3254,3399,32,62,1567,5129,241,194,914,1719,988,201,2794,628,548
12231,60060,-408,53.51,1122.4,19670,-,40305,9119,43151,7668,485,47958,22049,1378,2550,17444,1378,0,5,1659,886,53,1704,582,4317,1659,385,1063,1142,1303,350,4202,684,677
12232,53005,2574,35.41,1496.9,17677,-,33403,7977,37623,7382,321,44555,20186,1338,6146,12388,1337,1,1,1915,4230,23,220,1489,3689,199,210,600,1450,997,140,2794,577,314
12233,51370,1194,53.91,952.9,18652,-,9997,6968,37322,7068,1491,41258,18863,2857,3817,11964,2856,1,3,1744,2070,27,61,1654,3665,170,209,1045,1260,637,219,2507,510,225
12322,21385,1500,19.02,1124.3,8246,-,12770,2622,15358,3405,201,15476,5156,318,938,3666,318,0,0,386,552,22,39,355,1177,79,58,376,350,293,30,669,218,234
12325,12652,1549,46.57,271.7,3732,-,0,1798,8530,2324,37,11481,4553,760,655,3070,756,4,1,423,231,4,16,156,447,6,11,137,1129,413,29,546,176,68
12328,8390,181,23.72,353.7,2465,-,0,1653,5362,1375,61,5672,1647,354,379,905,354,0,0,197,182,25,8,40,179,6,6,64,132,138,7,204,96,9
12329,24377,-1098,32.46,751,7985,-,8802,2789,17375,4213,195,15844,5791,571,1609,3582,571,0,4,418,1187,36,21,282,1113,48,25,212,440,368,67,657,313,29
12341,7702,-413,32,240.7,2408,-,0,863,4960,1875,40,6291,2551,461,781,1280,461,0,9,320,452,3,11,154,263,18,4,76,147,163,47,287,107,29
12342,6705,-42,19.85,337.8,2085,-,0,929,4189,1587,56,5667,2451,280,1017,1147,279,1,7,159,851,4,2,37,339,32,2,49,193,161,13,240,75,7
12343,12720,-359,50.57,251.5,3740,-,0,1643,8072,3005,211,13500,7564,1717,1833,3951,1716,1,20,579,1234,2,15,1139,864,23,39,159,407,199,75,904,125,63
12344,25399,-648,61.84,410.7,8174,-,0,3083,16460,5856,547,22985,10329,982,3422,5872,982,0,0,943,2479,42,25,333,2043,159,47,451,865,324,102,1152,329,53
12345,10778,-471,51.54,209.1,2839,-,0,1338,6453,2987,53,9298,4628,1591,1058,1899,1591,0,0,583,475,2,5,194,382,26,2,113,265,103,139,545,123,80
12346,5190,-129,29.05,178.7,1475,-,0,607,3104,1459,21,4824,2773,990,765,1013,990,0,0,134,631,0,2,108,171,3,6,67,190,69,36,283,78,5
12347,16950,-653,72.68,233.2,5114,-,0,2053,10247,4648,182,16677,9136,2151,2347,4606,2151,0,2,747,1598,7,15,1007,1106,56,25,236,515,234,131,1129,145,32
