CODE,POPULATION,HOUSE,POP_INCREASE,HOU_INCREASE,AREA,POP_U15,POP_O15,POP_O65
dummy,,,,,,,,
46447,3232,1434,-635,-128,54.48,256,1584,1391
46468,12385,5906,-856,-168,100.67,1417,6082,4869
46482,6237,2772,-293,-54,27.78,878,3066,2287
46486,4918,2225,-665,-149,85.34,496,2166,2256
46488,2026,950,-314,-118,77.81,203,845,977
46487,4769,2180,-580,-204,88.06,506,2117,2146
46489,1712,973,-481,-202,125.53,77,584,1051
46483,2677,1409,-538,-173,179.36,151,1081,1445
46484,11550,4984,-899,-408,128.75,1503,5606,4441
46501,7539,3596,-596,-145,137.18,951,3618,2967
46502,5445,2673,-300,-54,110.36,725,2751,1963
46503,5616,2736,-612,-179,298.93,743,2805,2061
46504,6242,3111,-443,-107,242.03,864,3121,2254
46523,1364,688,-166,-21,88.26,141,636,586
46524,1621,805,-101,-61,103.07,203,718,700
46525,8546,4270,-496,-143,239.65,1043,4227,3251
46527,5817,2561,11,147,81.82,918,2990,1906
46529,6629,3258,-583,-105,56.82,824,3118,2663
46530,10147,4714,-1013,-246,104.92,1533,5246,3368
46531,5517,2521,-458,-102,80.4,769,2701,2047
46532,6139,2783,-223,-102,62.71,985,2831,2323
46533,6246,2883,-537,-26,40.39,904,3075,2267
46534,5750,2659,-463,-33,53.3,798,2745,2163
46535,5115,2160,-71,104,20.58,747,2576,1792
47000,1467480,614708,33914,54284,2282.59,243246,871154,324708
47201,317625,144355,-1810,8823,41.42,46166,189536,72287
47205,100125,44163,3882,4830,19.8,16651,60492,18925
47207,47637,22033,73,1519,229.15,8162,28172,10482
47208,115690,47331,1458,3290,19.5,19722,71286,23180
47209,63554,28453,1880,2311,210.94,10536,37252,13901
47210,61007,23272,2460,2625,46.63,10960,36069,13522
47211,142752,60570,3473,7245,49.72,23829,85673,28854
47212,64612,24580,3493,2800,19.31,12526,38759,12729
47202,23869,9818,618,952,21.03,3867,14388,5497
47203,77312,29363,6197,4061,31.99,13979,47366,15769
47322,11451,4493,-52,441,18.95,1579,6541,3283
47323,12671,4489,-358,331,13.68,1759,7384,3501
47206,36845,17077,1565,2053,64.92,6269,21336,8359
47371,4907,2293,-479,-72,57.6,544,2372,1987
47372,2876,1227,-16,12,23.63,440,1409,1025
47373,3721,1591,862,290,18.98,647,2220,809
47374,4582,2047,-187,-25,39.2,502,2176,1899
47345,12018,4323,336,343,16.87,2294,6698,2983
47346,4666,1714,-441,-67,9.73,589,2490,1583
47347,12134,4557,534,494,10.6,1800,6907,3372
47349,15225,5301,1598,830,12.35,3051,8662,3471
47301,4517,1976,-391,-85,194.8,587,2380,1550
47302,3092,1308,32,46,63.55,351,1594,1146
47303,1598,725,-122,-23,81.88,198,813,587
47306,8894,3541,-637,51,39.93,1335,4538,3019
47308,12530,5351,-1006,114,54.36,1796,6547,4107
47311,10869,4735,217,670,50.84,1585,6663,2621
47313,5833,2239,236,236,31.3,1157,3179,1491
47314,10806,4657,-426,46,37.84,1874,5920,3006
47315,4118,1900,-142,-17,22.78,623,2071,1424
47324,41206,15672,1702,2014,35.28,7073,24950,9050
47325,13521,5220,-164,151,15.12,2307,7862,3273
47326,28201,11697,-107,973,13.93,4780,16975,5765
47327,17969,6558,1821,1017,11.54,2973,10528,4294
47328,22157,8851,2703,1642,15.53,3865,13021,4113
47329,34984,13610,476,969,15.9,5637,21351,7514
47348,19695,7949,1285,946,5.18,3750,11665,3902
47350,40440,14679,2938,1916,10.76,8161,24111,7862
47353,718,389,-12,-28,19.23,138,434,146
47354,892,501,22,48,16.74,160,545,187
47355,683,378,-76,-51,7.65,82,346,248
47356,346,224,-84,-43,3.87,29,174,143
47357,1285,680,-44,-6,30.52,202,767,316
47358,590,326,-39,-7,13.07,98,365,127
47359,1126,518,-112,2,21.82,195,598,333
47360,1322,637,-195,-58,15.43,207,707,408
47351,3797,1799,-297,-21,37.85,532,2122,1140
47352,3395,1539,-266,-6,25.48,543,1843,1005
47343,22106,7622,1559,844,14.79,4592,12885,4603
47344,8835,3058,316,211,12.11,1385,5105,2322
47375,1058,466,-136,-4,22,150,585,323
47381,3942,2093,-56,-29,334.4,707,2308,905
47382,1676,760,-167,-320,28.9,302,1014,360
