CODE,POPULATION,POP_INCREASE,AREA,DENSITY,HOUSE,HOU_INCREASE,DID_POPULATION,POP_U15,POP_O15,POP_O65,FOREIGNER,DAYTIME,WORKER,1ST_IND,2ND_IND,3RD_IND,IND_AGRI,IND_FISH,IND_MINI,IND_CONS,IND_MANU,IND_SUPP,IND_INFO,IND_TRAN,IND_SALE,IND_FINA,IND_REAL,IND_RESE,IND_ACCO,IND_LIVI,IND_EDUC,IND_MEDI,IND_COMP,IND_OSERV,IND_GOVE,IND_OTHER
dummy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26109,284085,-1334,61.62,4610.3,123597,-,269296,36777,180521,61756,6842,276715,115077,1110,25618,72551,1110,0,4,8273,17341,571,1237,8246,18362,1696,2193,2665,5903,3800,5793,13558,334,6384,2380,15227
26110,136045,-625,28.78,4727.1,58321,-,129804,16807,86560,31525,1718,121223,50078,426,11089,32266,426,0,1,4911,6177,111,659,3106,8252,724,1112,1276,3032,1889,2271,6618,148,2181,998,6186
26111,152974,-1782,59.2,2584,61420,-,140419,21845,98771,30572,2732,124573,44265,674,6980,30642,674,0,0,3364,3616,94,361,2032,7224,765,1103,1525,2770,1536,3391,6821,160,1915,1039,5875
26201,79652,-2325,552.57,144.1,30890,-,36731,11283,47112,20912,720,84356,42937,2527,11596,26320,2522,5,29,3839,7728,255,265,2472,6615,761,422,817,1989,1357,1802,4715,301,2529,2275,2239
26202,88669,-3064,342.35,259,35504,-,62461,12505,52945,23181,935,87944,41686,1591,8273,27850,1367,224,16,3400,4857,437,98,1789,6138,775,415,581,2232,1286,1885,4764,252,2160,5475,3535
26203,35836,-1919,347.11,103.2,14006,-,12617,4495,19396,11884,304,36265,17456,1480,5922,9459,1478,2,0,1079,4843,62,87,677,2160,208,109,465,662,527,644,2120,280,924,596,533
26204,189609,18,67.55,2806.9,72907,-,185499,27127,120688,40917,1959,166555,64216,507,16069,39529,507,0,6,3942,12121,213,467,2219,9270,957,957,1610,3062,2538,3673,8313,186,2811,3466,7898
26205,19948,-1564,169.32,117.8,8180,-,6451,2285,10713,6938,148,21376,10580,732,2012,7034,571,161,5,1006,1001,95,28,479,1678,341,114,253,1048,369,520,932,106,584,582,707
26206,92399,-1597,224.9,410.8,33625,-,62239,13018,59738,19080,717,79270,33495,1701,9077,19596,1700,1,21,2242,6814,140,119,1357,5127,444,382,639,1769,1344,1639,3605,354,1773,1044,2981
26207,80037,-1599,32.74,2444.6,29972,-,71790,10113,50350,19352,533,64737,23598,536,6137,14774,536,0,42,1451,4644,59,107,896,3592,321,307,444,1182,1190,1140,3545,118,1092,840,2092
26208,54328,-713,7.67,7083.2,21282,-,54085,7961,34484,11754,425,42533,14862,247,3024,10534,247,0,0,1029,1995,42,129,971,2662,169,321,477,709,899,794,1787,76,831,709,1015
26209,79844,1509,19.18,4162.9,31514,-,78816,11220,50100,16950,463,73548,31988,340,12564,18148,340,0,0,1457,11107,163,594,1428,3741,463,515,1204,1317,1013,1539,4027,121,1473,713,773
26210,74227,-25,24.37,3045.8,28795,-,64227,10188,48105,15932,571,62301,24035,588,5295,15450,587,1,0,1355,3940,85,135,2953,4499,220,307,359,948,832,1034,2219,98,1151,695,2617
26211,67910,3902,42.94,1581.5,27839,-,52369,10067,44909,12877,457,70334,24868,607,5330,16875,607,0,2,1253,4075,48,163,1876,3409,372,475,498,1750,853,2630,2540,205,1268,836,2008
26212,59038,-3685,501.84,117.6,20690,-,6073,8042,32718,18263,320,57448,28541,2710,8955,15787,2541,169,43,2180,6732,70,65,591,3795,402,84,351,2121,908,1256,3520,336,1211,1147,1019
26213,35214,-1522,616.31,57.1,12721,-,7626,3955,20632,10410,250,36329,16821,1751,4444,9777,1750,1,0,1122,3322,50,45,550,1674,143,102,325,765,526,1229,2667,211,767,773,799
26214,69761,6112,85.12,819.6,24393,-,32065,11839,44746,12952,391,55326,18722,1115,2879,12704,1114,1,0,1163,1716,78,117,584,3432,230,289,905,884,672,1127,2592,120,939,813,1946
26303,15121,-70,5.97,2532.8,5750,-,14418,2146,9274,3650,88,13336,5875,54,2809,2812,54,0,0,274,2535,14,124,717,436,16,79,96,158,82,199,343,45,310,207,186
26322,15914,-696,13.86,1148.2,5870,-,11666,2263,10117,3531,303,27825,19455,716,8560,9549,716,0,1,943,7616,21,74,2826,2926,102,131,163,518,458,311,943,55,781,261,609
26343,8447,-504,18.02,468.8,3110,-,5081,1016,5212,2218,71,7385,2982,104,1201,1290,104,0,2,494,705,6,3,132,223,36,45,30,74,203,135,210,16,70,113,381
26344,9711,-349,58.26,166.7,3097,-,0,1394,6163,2145,90,9506,5305,426,2632,2087,426,0,4,295,2333,30,9,304,759,31,46,47,94,157,101,232,35,152,120,130
26364,1626,-250,23.57,69,631,-,0,120,893,613,2,1334,505,20,113,367,20,0,0,58,55,0,1,13,62,2,2,6,55,73,24,56,6,17,50,5
26365,4482,-516,64.87,69.1,1509,-,0,390,2629,1462,7,3761,1601,524,315,700,524,0,0,149,166,4,2,38,170,7,2,12,31,77,42,137,26,72,84,58
26366,35630,1394,25.66,1388.5,12117,-,19107,6380,23197,6036,189,27312,9364,380,1535,6874,380,0,6,499,1030,77,225,158,1383,128,98,846,335,292,1012,1349,43,570,435,498
26367,3078,-388,64.21,47.9,1128,-,0,250,1742,1083,8,2451,937,259,77,572,259,0,0,44,33,6,0,22,42,1,0,14,116,141,40,61,30,43,62,23
26407,15732,-1161,303.07,51.9,5660,-,0,1783,8464,5481,113,14487,6773,1210,2047,3309,1208,2,1,533,1513,25,17,164,726,44,25,82,335,361,265,686,108,270,226,182
26463,2410,-308,62,38.9,939,-,0,200,1182,1028,6,2220,973,307,117,544,145,162,5,59,53,1,0,19,77,11,7,0,107,14,65,117,20,32,75,4
26465,23454,-1452,107.04,219.1,8347,-,0,3314,13103,7013,165,21395,9559,401,3352,5153,401,0,2,856,2494,22,17,202,1361,91,47,119,320,341,571,1267,99,486,232,631
27102,102632,2801,6.05,16964,50075,-,102632,11617,69011,20718,1989,100668,44947,8,7351,32576,8,0,8,3375,3968,112,1443,2106,8247,972,1476,1721,3768,1930,1696,5542,112,2459,1104,4900
27103,67290,6331,4.67,14409,34379,-,67290,7611,46011,12785,868,89796,55382,14,9324,41716,14,0,2,2562,6760,269,4818,3070,14813,953,1305,2365,3352,1436,945,4165,95,3162,1237,4059
27104,65569,1760,16.41,3995.7,29495,-,65569,7961,41950,15545,1241,78925,43327,45,12345,27468,32,13,6,3315,9024,609,994,6986,4701,271,649,1847,2095,3725,733,2223,125,2596,523,2860
