CODE,POPULATION,HOUSE,MOVEIN1,BIRTH1,ADD1,MOVEOUT1,DEATH1,DELETE1,INCR1,SOC_INCR1,NAT_INCR1,INCR5,SOC_INCR5,NAT_INCR5,BIRTH5,DEATH5,INCR10,SOC_INCR10,NAT_INCR10,BIRTH10,DEATH10,FOREIGNER,POP_U15,POP_O15,POP_O65,AREA
dummy,,,,,,,,,,,,,,,,,,,,,,,,,,
20208,41988,18952,1575,265,1852,1533,524,2094,-242,42,-259,-1323,-178,-1155,1429,2584,-1792,-493,-1945,3109,5054,906,4882,23484,13622,98.55
20209,67084,27810,1970,423,2434,2184,851,3074,-640,-214,-428,-2395,-544,-1847,2365,4212,-3062,-1239,-3232,5097,8329,1792,8309,37818,20957,667.93
20210,32418,13350,1010,199,1245,1137,400,1563,-318,-127,-201,-967,-107,-843,1174,2017,-1575,-677,-1418,2544,3962,641,3981,18361,10076,165.86
20211,43969,17453,1184,265,1481,1245,545,1856,-375,-61,-280,-1814,-305,-1215,1476,2691,-2945,-1180,-2071,3266,5337,790,5239,24890,13840,112.18
20212,26872,11904,825,141,976,971,362,1353,-377,-146,-221,-2029,-820,-1197,712,1909,-3422,-1589,-2219,1554,3773,529,2546,14136,10190,565.15
20213,20332,7997,488,98,595,709,297,1013,-418,-221,-199,-1999,-991,-1044,529,1573,-3926,-2171,-2003,1186,3189,228,1997,10744,7591,202.43
20214,55332,24208,1958,353,2356,1989,644,2696,-340,-31,-291,-842,259,-969,1972,2941,-874,-3,-1306,4365,5671,963,6989,31473,16870,266.59
20215,66730,28081,2524,512,3082,2564,759,3387,-305,-40,-247,-729,368,-990,2664,3654,-531,217,-1530,5509,7039,1285,8279,39515,18936,289.98
20217,98661,42344,3448,739,4230,3223,1224,4490,-260,225,-485,-1075,1128,-2231,3739,5970,-1190,1836,-4193,7729,11922,1277,12507,55940,30214,423.51
20218,60097,24066,1715,342,2091,1605,777,2415,-324,110,-435,-1455,531,-2003,1863,3866,-2570,360,-3591,3893,7484,818,6947,33707,19443,119.79
20219,29929,12246,951,194,1181,940,369,1330,-149,11,-175,-856,-116,-721,1029,1750,-1058,-159,-1326,2221,3547,544,3654,16906,9369,112.37
20220,97152,40253,2952,573,3568,2809,1081,3910,-342,143,-508,-1362,971,-2442,3079,5521,-630,1858,-4228,6554,10782,1233,11517,55215,30420,331.78
20303,4503,1941,137,29,167,155,78,241,-74,-18,-49,-347,-81,-260,127,387,-747,-305,-557,254,811,59,401,2267,1835,114.2
20304,3947,1450,735,37,775,710,49,791,-16,25,-12,-156,823,-74,163,237,-357,772,-139,321,460,258,453,2251,1243,209.61
20305,3162,1381,400,23,430,305,60,381,49,95,-37,-30,154,-129,111,240,-148,-195,-307,206,513,281,342,1819,1001,133.09
20306,996,429,55,3,58,24,22,46,12,31,-19,-74,-7,-65,21,86,-158,-45,-134,50,184,20,97,478,401,66.05
20307,719,336,54,4,58,70,15,85,-27,-16,-11,-79,-5,-61,21,82,-114,-12,-105,42,147,13,99,337,270,56.32
20309,10756,4281,254,42,307,344,170,520,-213,-90,-128,-1062,-404,-634,245,879,-1795,-616,-1247,580,1827,85,1111,5572,4073,188.15
20321,20922,10292,1819,117,1942,1182,210,1440,502,637,-93,745,1240,-423,604,1027,1746,2363,-757,1267,2024,576,2429,11798,6695,156.03
20323,15880,7173,1036,100,1138,830,175,1032,106,206,-75,386,965,-325,535,860,1183,1449,-458,1108,1566,369,1979,9554,4347,58.79
20324,7063,2917,186,36,222,209,115,325,-103,-23,-79,-531,-180,-348,166,514,-879,-245,-716,352,1068,137,658,3832,2573,66.87
20349,4333,1775,143,29,173,122,69,191,-18,21,-40,-241,39,-273,119,392,-458,39,-527,236,763,36,496,2157,1644,57.1
20350,5887,2640,156,21,178,187,98,286,-108,-31,-77,-602,-223,-374,129,503,-1171,-546,-678,307,985,54,519,2887,2481,183.86
20361,19559,8742,611,87,707,714,289,1007,-300,-103,-202,-1343,-435,-898,549,1447,-2290,-907,-1642,1191,2833,278,2030,10145,7384,66.87
20362,14392,6054,513,87,605,475,195,682,-77,38,-108,-620,-2,-588,431,1019,-970,-88,-1023,966,1989,276,1669,7659,5064,144.76
20363,8036,3380,358,44,407,288,102,406,1,70,-58,136,408,-243,243,486,75,506,-480,490,970,139,981,4353,2702,43.26
20382,19144,7809,487,92,583,539,294,844,-261,-52,-202,-1177,-284,-857,500,1357,-2191,-928,-1523,1131,2654,401,2044,9989,7111,169.2
20383,24819,9822,842,142,1012,923,242,1217,-205,-81,-100,-296,250,-408,908,1316,-187,69,-735,1907,2642,764,3193,14282,7344,85.91
20384,9318,3629,340,44,391,283,127,429,-38,57,-83,-477,-55,-394,260,654,-588,57,-745,585,1330,249,1007,4940,3371,86.96
20385,15754,6343,695,162,872,606,145,765,107,89,17,599,544,79,760,681,1533,961,314,1565,1251,337,2525,9479,3750,40.99
20386,4818,1668,108,34,146,144,59,204,-58,-36,-25,-264,-154,-123,164,287,-369,-208,-227,343,570,69,620,2512,1686,77.05
20388,8980,3481,253,53,311,268,78,348,-37,-15,-25,-195,-9,-137,284,421,-132,-53,-149,675,824,305,1217,5193,2570,54.5
20402,12975,4709,277,85,373,378,172,555,-182,-101,-87,-673,-241,-443,425,868,-1069,-368,-816,896,1712,137,1553,7081,4341,72.79
20403,12987,4507,361,65,437,336,142,480,-43,25,-77,-384,-29,-366,414,780,-529,-116,-547,985,1532,171,1775,7104,4108,45.36
20404,4398,2006,119,11,136,153,102,256,-120,-34,-91,-592,-131,-469,93,562,-965,-132,-898,225,1123,41,390,2017,1950,123.07
20407,6233,2364,158,45,204,228,99,330,-126,-70,-54,-449,-121,-322,213,535,-703,-277,-551,492,1043,139,793,3233,2207,214.43
20409,394,193,23,0,23,21,9,30,-7,2,-9,-79,-42,-37,6,43,-144,-76,-71,25,96,3,44,209,138,77.37
20410,873,406,39,3,42,37,26,64,-22,2,-23,-131,-38,-93,21,114,-271,-100,-180,37,217,15,59,350,449,89.97
20411,3690,1292,83,27,111,90,61,151,-40,-7,-34,-251,-60,-183,114,297,-475,-193,-323,270,593,40,458,1924,1268,38.12
20412,517,264,35,3,38,60,5,65,-27,-25,-2,-80,-43,-36,15,51,-97,-29,-70,31,101,6,55,221,235,43.43
20413,1204,674,33,3,36,42,36,78,-42,-9,-33,-224,-34,-191,21,212,-479,-106,-397,47,444,15,58,395,736,109.44
20414,1586,684,43,11,54,47,37,84,-30,-4,-26,-152,-22,-130,59,189,-277,-13,-301,108,409,26,186,719,655,64.59
20415,6247,2138,123,45,170,189,75,264,-94,-66,-30,-336,-99,-243,228,471,-581,-178,-492,466,958,62,816,3242,2189,66.61
20416,6708,2202,179,41,221,155,64,220,1,24,-23,-156,58,-220,204,424,-246,88,-444,456,900,125,883,3632,2193,76.79
20417,977,482,29,4,34,40,17,57,-23,-11,-13,-85,-5,-82,26,108,-211,-52,-168,57,225,12,99,404,462,248.28
20422,4276,2042,109,11,120,120,85,205,-85,-11,-74,-552,-149,-403,91,494,-1029,-388,-705,230,935,65,387,2069,1820,168.42
20423,4013,1726,131,10,141,140,78,220,-79,-9,-68,-397,-98,-300,92,392,-818,-264,-587,213,800,26,413,1852,1722,215.93
20425,2771,1115,46,11,58,55,62,117,-59,-9,-51,-284,-60,-226,68,294,-484,-93,-425,159,584,22,276,1306,1167,140.5
20429,732,385,36,3,39,31,13,44,-5,5,-10,-109,-54,-54,16,70,-208,-102,-113,30,143,26,39,357,310,310.82
20430,3569,1546,80,16,97,114,49,164,-67,-34,-33,-410,-195,-220,96,316,-672,-323,-387,200,587,80,283,1748,1538,234.47
20432,10628,4849,345,39,393,484,201,693,-300,-139,-162,-1303,-488,-814,238,1052,-2181,-872,-1475,605,2080,128,930,5196,4502,476.03
20446,2668,1117,103,9,113,71,81,152,-39,32,-72,-226,52,-282,71,353,-401,170,-593,117,710,22,239,1242,1165,34.38
20448,1724,715,66,13,79,61,34,95,-16,5,-21,-179,-81,-99,49,148,-296,-114,-198,109,307,9,172,816,727,39.05
20450,8663,3114,315,64,385,308,109,431,-46,7,-45,-128,133,-227,291,518,-51,288,-356,638,994,170,1128,5084,2451,24.98
20451,4478,1530,94,27,121,143,72,217,-96,-49,-45,-186,-56,-137,146,283,-404,-156,-293,253,546,41,512,2501,1424,70.62
20452,4328,1804,101,18,121,137,83,225,-104,-36,-65,-565,-249,-303,88,391,-1074,-547,-589,195,784,36,318,2009,1965,99.47
20481,9690,4038,325,39,372,303,150,467,-95,22,-111,-578,61,-626,201,827,-916,23,-1034,504,1538,127,914,4974,3802,40.16
20482,9705,3915,355,49,404,263,95,362,42,92,-46,-329,-42,-274,268,542,-372,4,-475,609,1084,142,1074,5420,3211,47.07
20485,8655,3942,746,49,839,1362,97,1668,-829,-616,-48,-669,372,-291,229,520,-524,735,-444,539,983,401,945,4966,2744,189.36
20486,2769,1220,144,17,161,290,46,357,-196,-146,-29,-323,-119,-129,78,207,-548,-254,-263,165,428,80,277,1439,1053,267.91
20521,14679,6200,412,66,491,519,195,743,-252,-107,-129,-826,-184,-625,368,993,-1375,-466,-1193,848,2041,460,1549,7926,5204,53.64
20541,11029,3921,350,82,435,305,122,436,-1,45,-40,-189,173,-327,348,675,-452,225,-675,700,1375,60,1410,5864,3755,19.12
20543,6857,2456,125,20,145,173,123,302,-157,-48,-103,-479,-124,-354,151,505,-788,-231,-590,342,932,97,730,3732,2395,98.56
20561,11958,4993,353,47,414,579,191,802,-388,-226,-144,-1329,-467,-738,247,985,-2169,-749,-1416,558,1974,215,994,6065,4899,265.9
20562,4579,1820,116,20,136,140,86,226,-90,-24,-66,-372,-13,-357,110,467,-636,-21,-664,263,927,36,485,2274,1784,99.32
20563,3517,1341,196,29,231,382,77,460,-229,-186,-48,-218,-30,-198,120,318,-496,-113,-416,215,631,84,381,1864,1272,57.96
20583,8100,3354,248,25,276,262,121,386,-110,-14,-96,-843,-279,-546,149,695,-1562,-575,-1026,334,1360,93,675,3952,3473,149.3
20588,2390,1045,61,7,68,62,54,116,-48,-1,-47,-349,-117,-234,47,281,-637,-218,-432,119,551,15,185,1083,1107,58.11
20590,10854,4211,239,42,286,287,153,448,-162,-48,-111,-839,-207,-609,217,826,-1557,-450,-1153,493,1646,52,1042,5562,4250,75
20602,1746,803,44,6,50,53,49,102,-52,-9,-43,-303,-78,-227,35,262,-560,-134,-449,78,527,21,107,703,915,271.66
21201,407387,182894,13879,2732,17044,13020,4467,18461,-1417,859,-1735,-6608,4345,-7617,14823,22440,-4679,5405,-11988,31302,43290,9629,49531,240573,117283,203.6
21202,160794,67555,5516,1183,6788,5426,1684,7304,-516,90,-501,-1601,1487,-2279,6205,8484,1351,1369,-3321,13250,16571,5666,20574,96134,44086,206.57
21203,86683,35851,2034,596,2685,2449,1094,3597,-912,-415,-498,-4080,-1544,-2440,3181,5621,-6800,-2646,-4435,6810,11245,840,10651,47658,28374,2177.61
